time,rnk,cores,mode,uw,ov,ovm,overhead,ov,exp,mode,distrib
0.035424,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038026,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.038215,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.036286,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.035515,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.036567,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.036489,0,4,2,40,80,2,10,10,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.068877,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.079247,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.081999,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.087786,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.081694,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.092739,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.083984,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.083411,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.073926,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.082939,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench,uniform
0.038156,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.040908,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.040449,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041749,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.040899,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.041833,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.040166,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.039279,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.04141,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.039476,0,4,2,40,80,2,20,20,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.089394,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.097123,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.105835,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.098208,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.10588,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.106753,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.109091,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.111358,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.106815,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.103997,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench,uniform
0.043731,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.044707,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
0.045123,0,4,2,40,80,2,40,40,base_40.000000_200.000000_uniform,collbench_parcels,uniform
